species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Mycobacterium_tuberculosis_h37rv	83332	Rv0541c	CCP43279	CCP43279	AL123456	CCP43279
Mycobacterium_tuberculosis_h37rv	83332	Rv0542c	CCP43280	CCP43280	AL123456	CCP43280
Mycobacterium_tuberculosis_h37rv	83332	Rv0543c	CCP43281	CCP43281	AL123456	CCP43281
Mycobacterium_tuberculosis_h37rv	83332	Rv0544c	CCP43282	CCP43282	AL123456	CCP43282
Mycobacterium_tuberculosis_h37rv	83332	Rv0545c	CCP43283	CCP43283	AL123456	CCP43283
Mycobacterium_tuberculosis_h37rv	83332	Rv0546c	CCP43284	CCP43284	AL123456	CCP43284
Mycobacterium_tuberculosis_h37rv	83332	Rv0547c	CCP43285	CCP43285	AL123456	CCP43285
Mycobacterium_tuberculosis_h37rv	83332	Rv0548c	CCP43286	CCP43286	AL123456	CCP43286
Mycobacterium_tuberculosis_h37rv	83332	Rv0549c	CCP43287	CCP43287	AL123456	CCP43287
Mycobacterium_tuberculosis_h37rv	83332	Rv0550c	CCP43288	CCP43288	AL123456	CCP43288
Mycobacterium_tuberculosis_h37rv	83332	Rv0551c	CCP43289	CCP43289	AL123456	CCP43289
Mycobacterium_tuberculosis_h37rv	83332	Rv0552	CCP43290	CCP43290	AL123456	CCP43290
Mycobacterium_tuberculosis_h37rv	83332	Rv0553	CCP43291	CCP43291	AL123456	CCP43291
Mycobacterium_tuberculosis_h37rv	83332	Rv0554	CCP43292	CCP43292	AL123456	CCP43292
Mycobacterium_tuberculosis_h37rv	83332	Rv0555	CCP43293	CCP43293	AL123456	CCP43293
Mycobacterium_tuberculosis_h37rv	83332	Rv0556	CCP43294	CCP43294	AL123456	CCP43294
Mycobacterium_tuberculosis_h37rv	83332	Rv0557	CCP43295	CCP43295	AL123456	CCP43295
Mycobacterium_tuberculosis_h37rv	83332	Rv0558	CCP43296	CCP43296	AL123456	CCP43296
Mycobacterium_tuberculosis_h37rv	83332	Rv0559c	CCP43297	CCP43297	AL123456	CCP43297
Mycobacterium_tuberculosis_h37rv	83332	Rv0560c	CCP43298	CCP43298	AL123456	CCP43298
Mycobacterium_tuberculosis_h37rv	83332	Rv0561c	CCP43299	CCP43299	AL123456	CCP43299
Mycobacterium_tuberculosis_h37rv	83332	Rv0562	CCP43300	CCP43300	AL123456	CCP43300
Mycobacterium_tuberculosis_h37rv	83332	Rv0563	CCP43301	CCP43301	AL123456	CCP43301
Mycobacterium_tuberculosis_h37rv	83332	Rv0564c	CCP43302	CCP43302	AL123456	CCP43302
Mycobacterium_tuberculosis_h37rv	83332	Rv0565c	CCP43303	CCP43303	AL123456	CCP43303
Mycobacterium_tuberculosis_h37rv	83332	Rv0566c	CCP43304	CCP43304	AL123456	CCP43304
Mycobacterium_tuberculosis_h37rv	83332	Rv0567	CCP43305	CCP43305	AL123456	CCP43305
Mycobacterium_tuberculosis_h37rv	83332	Rv0568	CCP43306	CCP43306	AL123456	CCP43306
Mycobacterium_tuberculosis_h37rv	83332	Rv0569	CCP43307	CCP43307	AL123456	CCP43307
Mycobacterium_tuberculosis_h37rv	83332	Rv0570	CCP43308	CCP43308	AL123456	CCP43308
Mycobacterium_tuberculosis_h37rv	83332	Rv0571c	CCP43309	CCP43309	AL123456	CCP43309
Mycobacterium_tuberculosis_h37rv	83332	Rv0572c	CCP43310	CCP43310	AL123456	CCP43310
Mycobacterium_tuberculosis_h37rv	83332	Rv0573c	CCP43311	CCP43311	AL123456	CCP43311
Mycobacterium_tuberculosis_h37rv	83332	Rv0574c	CCP43312	CCP43312	AL123456	CCP43312
Mycobacterium_tuberculosis_h37rv	83332	Rv0575c	CCP43313	CCP43313	AL123456	CCP43313
Mycobacterium_tuberculosis_h37rv	83332	Rv0576	CCP43314	CCP43314	AL123456	CCP43314
Mycobacterium_tuberculosis_h37rv	83332	Rv0577	CCP43315	CCP43315	AL123456	CCP43315
Mycobacterium_tuberculosis_h37rv	83332	Rv0578c	CCP43316	CCP43316	AL123456	CCP43316
Mycobacterium_tuberculosis_h37rv	83332	Rv0579	CCP43317	CCP43317	AL123456	CCP43317
Mycobacterium_tuberculosis_h37rv	83332	Rv0580c	CCP43318	CCP43318	AL123456	CCP43318
Mycobacterium_tuberculosis_h37rv	83332	Rv0581	CCP43319	CCP43319	AL123456	CCP43319
Mycobacterium_tuberculosis_h37rv	83332	Rv0582	CCP43320	CCP43320	AL123456	CCP43320
Mycobacterium_tuberculosis_h37rv	83332	Rv0583c	CCP43321	CCP43321	AL123456	CCP43321
Mycobacterium_tuberculosis_h37rv	83332	Rv0584	CCP43322	CCP43322	AL123456	CCP43322
Mycobacterium_tuberculosis_h37rv	83332	Rv0585c	CCP43323	CCP43323	AL123456	CCP43323
Mycobacterium_tuberculosis_h37rv	83332	Rv0586	CCP43324	CCP43324	AL123456	CCP43324
Mycobacterium_tuberculosis_h37rv	83332	Rv0587	CCP43325	CCP43325	AL123456	CCP43325
Mycobacterium_tuberculosis_h37rv	83332	Rv0588	CCP43326	CCP43326	AL123456	CCP43326
Mycobacterium_tuberculosis_h37rv	83332	Rv0589	CCP43327	CCP43327	AL123456	CCP43327
Mycobacterium_tuberculosis_h37rv	83332	Rv0590	CCP43328	CCP43328	AL123456	CCP43328
Mycobacterium_tuberculosis_h37rv	83332	Rv0590A	CCP43329	CCP43329	AL123456	CCP43329
Mycobacterium_tuberculosis_h37rv	83332	Rv0591	CCP43330	CCP43330	AL123456	CCP43330
Mycobacterium_tuberculosis_h37rv	83332	Rv0592	CCP43331	CCP43331	AL123456	CCP43331
Mycobacterium_tuberculosis_h37rv	83332	Rv0593	CCP43332	CCP43332	AL123456	CCP43332
Mycobacterium_tuberculosis_h37rv	83332	Rv0594	CCP43333	CCP43333	AL123456	CCP43333
Mycobacterium_tuberculosis_h37rv	83332	Rv0595c	CCP43334	CCP43334	AL123456	CCP43334
Mycobacterium_tuberculosis_h37rv	83332	Rv0596c	CCP43335	CCP43335	AL123456	CCP43335
Mycobacterium_tuberculosis_h37rv	83332	Rv0597c	CCP43336	CCP43336	AL123456	CCP43336
Mycobacterium_tuberculosis_h37rv	83332	Rv0598c	CCP43337	CCP43337	AL123456	CCP43337
Mycobacterium_tuberculosis_h37rv	83332	Rv0599c	CCP43338	CCP43338	AL123456	CCP43338
Mycobacterium_tuberculosis_h37rv	83332	Rv0600c	CCP43339	CCP43339	AL123456	CCP43339
Mycobacterium_tuberculosis_h37rv	83332	Rv0601c	CCP43340	CCP43340	AL123456	CCP43340
Mycobacterium_tuberculosis_h37rv	83332	Rv0602c	CCP43341	CCP43341	AL123456	CCP43341
Mycobacterium_tuberculosis_h37rv	83332	Rv0603	CCP43342	CCP43342	AL123456	CCP43342
Mycobacterium_tuberculosis_h37rv	83332	Rv0604	CCP43343	CCP43343	AL123456	CCP43343
Mycobacterium_tuberculosis_h37rv	83332	Rv0605	CCP43344	CCP43344	AL123456	CCP43344
Mycobacterium_tuberculosis_h37rv	83332	Rv0606	CCP43345	CCP43345	AL123456	CCP43345
Mycobacterium_tuberculosis_h37rv	83332	Rv0607	CCP43346	CCP43346	AL123456	CCP43346
Mycobacterium_tuberculosis_h37rv	83332	Rv0608	CCP43347	CCP43347	AL123456	CCP43347
Mycobacterium_tuberculosis_h37rv	83332	Rv0609	CCP43348	CCP43348	AL123456	CCP43348
Mycobacterium_tuberculosis_h37rv	83332	Rv0609A	CCP43349	CCP43349	AL123456	CCP43349
Mycobacterium_tuberculosis_h37rv	83332	Rv0610c	CCP43350	CCP43350	AL123456	CCP43350
Mycobacterium_tuberculosis_h37rv	83332	Rv0611c	CCP43351	CCP43351	AL123456	CCP43351
Mycobacterium_tuberculosis_h37rv	83332	Rv0612	CCP43352	CCP43352	AL123456	CCP43352
Mycobacterium_tuberculosis_h37rv	83332	Rv0613c	CCP43353	CCP43353	AL123456	CCP43353
Mycobacterium_tuberculosis_h37rv	83332	Rv0614	CCP43354	CCP43354	AL123456	CCP43354
Mycobacterium_tuberculosis_h37rv	83332	Rv0615	CCP43355	CCP43355	AL123456	CCP43355
Mycobacterium_tuberculosis_h37rv	83332	Rv0616A	CCP43357	CCP43357	AL123456	CCP43357
Mycobacterium_tuberculosis_h37rv	83332	Rv0616c	CCP43356	CCP43356	AL123456	CCP43356
Mycobacterium_tuberculosis_h37rv	83332	Rv0617	CCP43358	CCP43358	AL123456	CCP43358
Mycobacterium_tuberculosis_h37rv	83332	Rv0618	CCP43359	CCP43359	AL123456	CCP43359
Mycobacterium_tuberculosis_h37rv	83332	Rv0619	CCP43360	CCP43360	AL123456	CCP43360
Mycobacterium_tuberculosis_h37rv	83332	Rv0620	CCP43361	CCP43361	AL123456	CCP43361
Mycobacterium_tuberculosis_h37rv	83332	Rv0621	CCP43362	CCP43362	AL123456	CCP43362
Mycobacterium_tuberculosis_h37rv	83332	Rv0622	CCP43363	CCP43363	AL123456	CCP43363
Mycobacterium_tuberculosis_h37rv	83332	Rv0623	CCP43364	CCP43364	AL123456	CCP43364
Mycobacterium_tuberculosis_h37rv	83332	Rv0624	CCP43365	CCP43365	AL123456	CCP43365
Mycobacterium_tuberculosis_h37rv	83332	Rv0625c	CCP43366	CCP43366	AL123456	CCP43366
Mycobacterium_tuberculosis_h37rv	83332	Rv0626	CCP43367	CCP43367	AL123456	CCP43367
Mycobacterium_tuberculosis_h37rv	83332	Rv0627	CCP43368	CCP43368	AL123456	CCP43368
Mycobacterium_tuberculosis_h37rv	83332	Rv0628c	CCP43369	CCP43369	AL123456	CCP43369
Mycobacterium_tuberculosis_h37rv	83332	Rv0629c	CCP43370	CCP43370	AL123456	CCP43370
Mycobacterium_tuberculosis_h37rv	83332	Rv0630c	CCP43371	CCP43371	AL123456	CCP43371
Mycobacterium_tuberculosis_h37rv	83332	Rv0631c	CCP43372	CCP43372	AL123456	CCP43372
Mycobacterium_tuberculosis_h37rv	83332	Rv0632c	CCP43373	CCP43373	AL123456	CCP43373
Mycobacterium_tuberculosis_h37rv	83332	Rv0633c	CCP43374	CCP43374	AL123456	CCP43374
Mycobacterium_tuberculosis_h37rv	83332	Rv0634A	CCP43376	CCP43376	AL123456	CCP43376
Mycobacterium_tuberculosis_h37rv	83332	Rv0634B	CCP43377	CCP43377	AL123456	CCP43377
Mycobacterium_tuberculosis_h37rv	83332	Rv0634c	CCP43375	CCP43375	AL123456	CCP43375
Mycobacterium_tuberculosis_h37rv	83332	Rv0635	CCP43378	CCP43378	AL123456	CCP43378
Mycobacterium_tuberculosis_h37rv	83332	Rv0636	CCP43379	CCP43379	AL123456	CCP43379
Mycobacterium_tuberculosis_h37rv	83332	Rv0637	CCP43380	CCP43380	AL123456	CCP43380
Mycobacterium_tuberculosis_h37rv	83332	Rv0638	CCP43381	CCP43381	AL123456	CCP43381
Mycobacterium_tuberculosis_h37rv	83332	Rv0639	CCP43382	CCP43382	AL123456	CCP43382
Mycobacterium_tuberculosis_h37rv	83332	Rv0640	CCP43383	CCP43383	AL123456	CCP43383
Mycobacterium_tuberculosis_h37rv	83332	Rv0641	CCP43384	CCP43384	AL123456	CCP43384
Mycobacterium_tuberculosis_h37rv	83332	Rv0642c	CCP43385	CCP43385	AL123456	CCP43385
Mycobacterium_tuberculosis_h37rv	83332	Rv0643c	CCP43386	CCP43386	AL123456	CCP43386
Mycobacterium_tuberculosis_h37rv	83332	Rv0644c	CCP43387	CCP43387	AL123456	CCP43387
Mycobacterium_tuberculosis_h37rv	83332	Rv0645c	CCP43388	CCP43388	AL123456	CCP43388
Mycobacterium_tuberculosis_h37rv	83332	Rv0646c	CCP43389	CCP43389	AL123456	CCP43389
Mycobacterium_tuberculosis_h37rv	83332	Rv0647c	CCP43390	CCP43390	AL123456	CCP43390
Mycobacterium_tuberculosis_h37rv	83332	Rv0648	CCP43391	CCP43391	AL123456	CCP43391
Mycobacterium_tuberculosis_h37rv	83332	Rv0649	CCP43392	CCP43392	AL123456	CCP43392
Mycobacterium_tuberculosis_h37rv	83332	Rv0650	CCP43393	CCP43393	AL123456	CCP43393
Mycobacterium_tuberculosis_h37rv	83332	Rv0651	CCP43394	CCP43394	AL123456	CCP43394
Mycobacterium_tuberculosis_h37rv	83332	Rv0652	CCP43395	CCP43395	AL123456	CCP43395
Mycobacterium_tuberculosis_h37rv	83332	Rv0653c	CCP43396	CCP43396	AL123456	CCP43396
Mycobacterium_tuberculosis_h37rv	83332	Rv0654	CCP43397	CCP43397	AL123456	CCP43397
Mycobacterium_tuberculosis_h37rv	83332	Rv0655	CCP43398	CCP43398	AL123456	CCP43398
Mycobacterium_tuberculosis_h37rv	83332	Rv0656c	CCP43399	CCP43399	AL123456	CCP43399
Mycobacterium_tuberculosis_h37rv	83332	Rv0657c	CCP43400	CCP43400	AL123456	CCP43400
Mycobacterium_tuberculosis_h37rv	83332	Rv0658c	CCP43401	CCP43401	AL123456	CCP43401
Mycobacterium_tuberculosis_h37rv	83332	Rv0659c	CCP43402	CCP43402	AL123456	CCP43402
Mycobacterium_tuberculosis_h37rv	83332	Rv0660c	CCP43403	CCP43403	AL123456	CCP43403
Mycobacterium_tuberculosis_h37rv	83332	Rv0661c	CCP43404	CCP43404	AL123456	CCP43404
Mycobacterium_tuberculosis_h37rv	83332	Rv0662c	CCP43405	CCP43405	AL123456	CCP43405
Mycobacterium_tuberculosis_h37rv	83332	Rv0663	CCP43406	CCP43406	AL123456	CCP43406
Mycobacterium_tuberculosis_h37rv	83332	Rv0664	CCP43407	CCP43407	AL123456	CCP43407
Mycobacterium_tuberculosis_h37rv	83332	Rv0665	CCP43408	CCP43408	AL123456	CCP43408
Mycobacterium_tuberculosis_h37rv	83332	Rv0666	CCP43409	CCP43409	AL123456	CCP43409
Mycobacterium_tuberculosis_h37rv	83332	Rv0667	CCP43410	CCP43410	AL123456	CCP43410
Mycobacterium_tuberculosis_h37rv	83332	Rv0668	CCP43411	CCP43411	AL123456	CCP43411
Mycobacterium_tuberculosis_h37rv	83332	Rv0669c	CCP43412	CCP43412	AL123456	CCP43412
Mycobacterium_tuberculosis_h37rv	83332	Rv0670	CCP43413	CCP43413	AL123456	CCP43413
Mycobacterium_tuberculosis_h37rv	83332	Rv0671	CCP43414	CCP43414	AL123456	CCP43414
Mycobacterium_tuberculosis_h37rv	83332	Rv0672	CCP43415	CCP43415	AL123456	CCP43415
Mycobacterium_tuberculosis_h37rv	83332	Rv0673	CCP43416	CCP43416	AL123456	CCP43416
Mycobacterium_tuberculosis_h37rv	83332	Rv0674	CCP43417	CCP43417	AL123456	CCP43417
Mycobacterium_tuberculosis_h37rv	83332	Rv0675	CCP43418	CCP43418	AL123456	CCP43418
Mycobacterium_tuberculosis_h37rv	83332	Rv0676c	CCP43419	CCP43419	AL123456	CCP43419
Mycobacterium_tuberculosis_h37rv	83332	Rv0677c	CCP43420	CCP43420	AL123456	CCP43420
Mycobacterium_tuberculosis_h37rv	83332	Rv0678	CCP43421	CCP43421	AL123456	CCP43421
Mycobacterium_tuberculosis_h37rv	83332	Rv0679c	CCP43422	CCP43422	AL123456	CCP43422
Mycobacterium_tuberculosis_h37rv	83332	Rv0680c	CCP43423	CCP43423	AL123456	CCP43423
Mycobacterium_tuberculosis_h37rv	83332	Rv0681	CCP43424	CCP43424	AL123456	CCP43424
Mycobacterium_tuberculosis_h37rv	83332	Rv0682	CCP43425	CCP43425	AL123456	CCP43425
Mycobacterium_tuberculosis_h37rv	83332	Rv0683	CCP43426	CCP43426	AL123456	CCP43426
Mycobacterium_tuberculosis_h37rv	83332	Rv0684	CCP43427	CCP43427	AL123456	CCP43427
Mycobacterium_tuberculosis_h37rv	83332	Rv0685	CCP43428	CCP43428	AL123456	CCP43428
Mycobacterium_tuberculosis_h37rv	83332	Rv0686	CCP43429	CCP43429	AL123456	CCP43429
Mycobacterium_tuberculosis_h37rv	83332	Rv0687	CCP43430	CCP43430	AL123456	CCP43430
Mycobacterium_tuberculosis_h37rv	83332	Rv0688	CCP43431	CCP43431	AL123456	CCP43431
Mycobacterium_tuberculosis_h37rv	83332	Rv0689c	CCP43432	CCP43432	AL123456	CCP43432
Mycobacterium_tuberculosis_h37rv	83332	Rv0690c	CCP43433	CCP43433	AL123456	CCP43433
Mycobacterium_tuberculosis_h37rv	83332	Rv0691A	CCP43435	CCP43435	AL123456	CCP43435
Mycobacterium_tuberculosis_h37rv	83332	Rv0691c	CCP43434	CCP43434	AL123456	CCP43434
Mycobacterium_tuberculosis_h37rv	83332	Rv0692	CCP43436	CCP43436	AL123456	CCP43436
Mycobacterium_tuberculosis_h37rv	83332	Rv0693	CCP43437	CCP43437	AL123456	CCP43437
Mycobacterium_tuberculosis_h37rv	83332	Rv0694	CCP43438	CCP43438	AL123456	CCP43438
Mycobacterium_tuberculosis_h37rv	83332	Rv0695	CCP43439	CCP43439	AL123456	CCP43439
Mycobacterium_tuberculosis_h37rv	83332	Rv0696	CCP43440	CCP43440	AL123456	CCP43440
Mycobacterium_tuberculosis_h37rv	83332	Rv0697	CCP43441	CCP43441	AL123456	CCP43441
Mycobacterium_tuberculosis_h37rv	83332	Rv0698	CCP43442	CCP43442	AL123456	CCP43442
Mycobacterium_tuberculosis_h37rv	83332	Rv0699	CCP43443	CCP43443	AL123456	CCP43443
Mycobacterium_tuberculosis_h37rv	83332	Rv0700	CCP43444	CCP43444	AL123456	CCP43444
Mycobacterium_tuberculosis_h37rv	83332	Rv0701	CCP43445	CCP43445	AL123456	CCP43445
Mycobacterium_tuberculosis_h37rv	83332	Rv0702	CCP43446	CCP43446	AL123456	CCP43446
Mycobacterium_tuberculosis_h37rv	83332	Rv0703	CCP43447	CCP43447	AL123456	CCP43447
Mycobacterium_tuberculosis_h37rv	83332	Rv0704	CCP43448	CCP43448	AL123456	CCP43448
Mycobacterium_tuberculosis_h37rv	83332	Rv0705	CCP43449	CCP43449	AL123456	CCP43449
Mycobacterium_tuberculosis_h37rv	83332	Rv0706	CCP43450	CCP43450	AL123456	CCP43450
Mycobacterium_tuberculosis_h37rv	83332	Rv0707	CCP43451	CCP43451	AL123456	CCP43451
Mycobacterium_tuberculosis_h37rv	83332	Rv0708	CCP43452	CCP43452	AL123456	CCP43452
Mycobacterium_tuberculosis_h37rv	83332	Rv0709	CCP43453	CCP43453	AL123456	CCP43453
Mycobacterium_tuberculosis_h37rv	83332	Rv0710	CCP43454	CCP43454	AL123456	CCP43454
Mycobacterium_tuberculosis_h37rv	83332	Rv0711	CCP43455	CCP43455	AL123456	CCP43455
Mycobacterium_tuberculosis_h37rv	83332	Rv0712	CCP43456	CCP43456	AL123456	CCP43456
Mycobacterium_tuberculosis_h37rv	83332	Rv0713	CCP43457	CCP43457	AL123456	CCP43457
Mycobacterium_tuberculosis_h37rv	83332	Rv0714	CCP43458	CCP43458	AL123456	CCP43458
Mycobacterium_tuberculosis_h37rv	83332	Rv0715	CCP43459	CCP43459	AL123456	CCP43459
Mycobacterium_tuberculosis_h37rv	83332	Rv0716	CCP43460	CCP43460	AL123456	CCP43460
Mycobacterium_tuberculosis_h37rv	83332	Rv0717	CCP43461	CCP43461	AL123456	CCP43461
Mycobacterium_tuberculosis_h37rv	83332	Rv0718	CCP43462	CCP43462	AL123456	CCP43462
Mycobacterium_tuberculosis_h37rv	83332	Rv0719	CCP43463	CCP43463	AL123456	CCP43463
Mycobacterium_tuberculosis_h37rv	83332	Rv0720	CCP43464	CCP43464	AL123456	CCP43464
Mycobacterium_tuberculosis_h37rv	83332	Rv0721	CCP43465	CCP43465	AL123456	CCP43465
Mycobacterium_tuberculosis_h37rv	83332	Rv0722	CCP43466	CCP43466	AL123456	CCP43466
Mycobacterium_tuberculosis_h37rv	83332	Rv0723	CCP43467	CCP43467	AL123456	CCP43467
Mycobacterium_tuberculosis_h37rv	83332	Rv0724	CCP43468	CCP43468	AL123456	CCP43468
Mycobacterium_tuberculosis_h37rv	83332	Rv0724A	CCP43469	CCP43469	AL123456	CCP43469
Mycobacterium_tuberculosis_h37rv	83332	Rv0725c	CCP43470	CCP43470	AL123456	CCP43470
Mycobacterium_tuberculosis_h37rv	83332	Rv0726c	CCP43471	CCP43471	AL123456	CCP43471
Mycobacterium_tuberculosis_h37rv	83332	Rv0727c	CCP43472	CCP43472	AL123456	CCP43472
Mycobacterium_tuberculosis_h37rv	83332	Rv0728c	CCP43473	CCP43473	AL123456	CCP43473
Mycobacterium_tuberculosis_h37rv	83332	Rv0729	CCP43474	CCP43474	AL123456	CCP43474
Mycobacterium_tuberculosis_h37rv	83332	Rv0730	CCP43475	CCP43475	AL123456	CCP43475
Mycobacterium_tuberculosis_h37rv	83332	Rv0731c	CCP43476	CCP43476	AL123456	CCP43476
Mycobacterium_tuberculosis_h37rv	83332	Rv0732	CCP43477	CCP43477	AL123456	CCP43477
Mycobacterium_tuberculosis_h37rv	83332	Rv0733	CCP43478	CCP43478	AL123456	CCP43478
Mycobacterium_tuberculosis_h37rv	83332	Rv0734	CCP43479	CCP43479	AL123456	CCP43479
Mycobacterium_tuberculosis_h37rv	83332	Rv0735	CCP43480	CCP43480	AL123456	CCP43480
Mycobacterium_tuberculosis_h37rv	83332	Rv0736	CCP43481	CCP43481	AL123456	CCP43481
Mycobacterium_tuberculosis_h37rv	83332	Rv0737	CCP43482	CCP43482	AL123456	CCP43482
Mycobacterium_tuberculosis_h37rv	83332	Rv0738	CCP43483	CCP43483	AL123456	CCP43483
Mycobacterium_tuberculosis_h37rv	83332	Rv0739	CCP43484	CCP43484	AL123456	CCP43484
Mycobacterium_tuberculosis_h37rv	83332	Rv0740	CCP43485	CCP43485	AL123456	CCP43485
Mycobacterium_tuberculosis_h37rv	83332	Rv0741	CCP43486	CCP43486	AL123456	CCP43486
Mycobacterium_tuberculosis_h37rv	83332	Rv0742	CCP43487	CCP43487	AL123456	CCP43487
Mycobacterium_tuberculosis_h37rv	83332	Rv0743c	CCP43488	CCP43488	AL123456	CCP43488
Mycobacterium_tuberculosis_h37rv	83332	Rv0744c	CCP43489	CCP43489	AL123456	CCP43489
Mycobacterium_tuberculosis_h37rv	83332	Rv0745	CCP43490	CCP43490	AL123456	CCP43490
Mycobacterium_tuberculosis_h37rv	83332	Rv0746	CCP43491	CCP43491	AL123456	CCP43491
Mycobacterium_tuberculosis_h37rv	83332	Rv0747	CCP43492	CCP43492	AL123456	CCP43492
Mycobacterium_tuberculosis_h37rv	83332	Rv0748	CCP43493	CCP43493	AL123456	CCP43493
Mycobacterium_tuberculosis_h37rv	83332	Rv0749	CCP43494	CCP43494	AL123456	CCP43494
Mycobacterium_tuberculosis_h37rv	83332	Rv0749A	CCP43495	CCP43495	AL123456	CCP43495
Mycobacterium_tuberculosis_h37rv	83332	Rv0750	CCP43496	CCP43496	AL123456	CCP43496
Mycobacterium_tuberculosis_h37rv	83332	Rv0751c	CCP43497	CCP43497	AL123456	CCP43497
Mycobacterium_tuberculosis_h37rv	83332	Rv0752c	CCP43498	CCP43498	AL123456	CCP43498
Mycobacterium_tuberculosis_h37rv	83332	Rv0753c	CCP43499	CCP43499	AL123456	CCP43499
Mycobacterium_tuberculosis_h37rv	83332	Rv0754	CCP43500	CCP43500	AL123456	CCP43500
Mycobacterium_tuberculosis_h37rv	83332	Rv0755A	CCP43502	CCP43502	AL123456	CCP43502
Mycobacterium_tuberculosis_h37rv	83332	Rv0755c	CCP43501	CCP43501	AL123456	CCP43501
Mycobacterium_tuberculosis_h37rv	83332	Rv0756c	CCP43503	CCP43503	AL123456	CCP43503
Mycobacterium_tuberculosis_h37rv	83332	Rv0757	CCP43504	CCP43504	AL123456	CCP43504
Mycobacterium_tuberculosis_h37rv	83332	Rv0758	CCP43505	CCP43505	AL123456	CCP43505
Mycobacterium_tuberculosis_h37rv	83332	Rv0759c	CCP43506	CCP43506	AL123456	CCP43506
Mycobacterium_tuberculosis_h37rv	83332	Rv0760c	CCP43507	CCP43507	AL123456	CCP43507
Mycobacterium_tuberculosis_h37rv	83332	Rv0761c	CCP43508	CCP43508	AL123456	CCP43508
Mycobacterium_tuberculosis_h37rv	83332	Rv0762c	CCP43509	CCP43509	AL123456	CCP43509
Mycobacterium_tuberculosis_h37rv	83332	Rv0763c	CCP43510	CCP43510	AL123456	CCP43510
Mycobacterium_tuberculosis_h37rv	83332	Rv0764c	CCP43511	CCP43511	AL123456	CCP43511
Mycobacterium_tuberculosis_h37rv	83332	Rv0765c	CCP43512	CCP43512	AL123456	CCP43512
Mycobacterium_tuberculosis_h37rv	83332	Rv0766c	CCP43513	CCP43513	AL123456	CCP43513
Mycobacterium_tuberculosis_h37rv	83332	Rv0767c	CCP43514	CCP43514	AL123456	CCP43514
Mycobacterium_tuberculosis_h37rv	83332	Rv0768	CCP43515	CCP43515	AL123456	CCP43515
Mycobacterium_tuberculosis_h37rv	83332	Rv0769	CCP43516	CCP43516	AL123456	CCP43516
Mycobacterium_tuberculosis_h37rv	83332	Rv0770	CCP43517	CCP43517	AL123456	CCP43517
Mycobacterium_tuberculosis_h37rv	83332	Rv0771	CCP43518	CCP43518	AL123456	CCP43518
Mycobacterium_tuberculosis_h37rv	83332	Rv0772	CCP43519	CCP43519	AL123456	CCP43519
Mycobacterium_tuberculosis_h37rv	83332	Rv0773c	CCP43520	CCP43520	AL123456	CCP43520
Mycobacterium_tuberculosis_h37rv	83332	Rv0774c	CCP43521	CCP43521	AL123456	CCP43521
Mycobacterium_tuberculosis_h37rv	83332	Rv0775	CCP43522	CCP43522	AL123456	CCP43522
Mycobacterium_tuberculosis_h37rv	83332	Rv0776c	CCP43523	CCP43523	AL123456	CCP43523
Mycobacterium_tuberculosis_h37rv	83332	Rv0777	CCP43524	CCP43524	AL123456	CCP43524
Mycobacterium_tuberculosis_h37rv	83332	Rv0778	CCP43525	CCP43525	AL123456	CCP43525
Mycobacterium_tuberculosis_h37rv	83332	Rv0779c	CCP43526	CCP43526	AL123456	CCP43526
Mycobacterium_tuberculosis_h37rv	83332	Rv0780	CCP43527	CCP43527	AL123456	CCP43527
Mycobacterium_tuberculosis_h37rv	83332	Rv0781	CCP43528	CCP43528	AL123456	CCP43528
Mycobacterium_tuberculosis_h37rv	83332	Rv0782	CCP43529	CCP43529	AL123456	CCP43529
Mycobacterium_tuberculosis_h37rv	83332	Rv0783c	CCP43530	CCP43530	AL123456	CCP43530
Mycobacterium_tuberculosis_h37rv	83332	Rv0784	CCP43531	CCP43531	AL123456	CCP43531
Mycobacterium_tuberculosis_h37rv	83332	Rv0785	CCP43532	CCP43532	AL123456	CCP43532
Mycobacterium_tuberculosis_h37rv	83332	Rv0786c	CCP43533	CCP43533	AL123456	CCP43533
Mycobacterium_tuberculosis_h37rv	83332	Rv0787	CCP43534	CCP43534	AL123456	CCP43534
Mycobacterium_tuberculosis_h37rv	83332	Rv0787A	CCP43535	CCP43535	AL123456	CCP43535
Mycobacterium_tuberculosis_h37rv	83332	Rv0788	CCP43536	CCP43536	AL123456	CCP43536
Mycobacterium_tuberculosis_h37rv	83332	Rv0789c	CCP43537	CCP43537	AL123456	CCP43537
Mycobacterium_tuberculosis_h37rv	83332	Rv0790c	CCP43538	CCP43538	AL123456	CCP43538
Mycobacterium_tuberculosis_h37rv	83332	Rv0791c	CCP43539	CCP43539	AL123456	CCP43539
Mycobacterium_tuberculosis_h37rv	83332	Rv0792c	CCP43540	CCP43540	AL123456	CCP43540
Mycobacterium_tuberculosis_h37rv	83332	Rv0793	CCP43541	CCP43541	AL123456	CCP43541
Mycobacterium_tuberculosis_h37rv	83332	Rv0794c	CCP43542	CCP43542	AL123456	CCP43542
Mycobacterium_tuberculosis_h37rv	83332	Rv0795	CCP43543	CCP43543	AL123456	CCP43543
Mycobacterium_tuberculosis_h37rv	83332	Rv0796	CCP43544	CCP43544	AL123456	CCP43544
