species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Mycobacterium_tuberculosis_h37rv	83332	Rv0302	CCP43032	CCP43032	AL123456	CCP43032
Mycobacterium_tuberculosis_h37rv	83332	Rv0303	CCP43033	CCP43033	AL123456	CCP43033
Mycobacterium_tuberculosis_h37rv	83332	Rv0304c	CCP43034	CCP43034	AL123456	CCP43034
Mycobacterium_tuberculosis_h37rv	83332	Rv0305c	CCP43035	CCP43035	AL123456	CCP43035
Mycobacterium_tuberculosis_h37rv	83332	Rv0306	CCP43036	CCP43036	AL123456	CCP43036
Mycobacterium_tuberculosis_h37rv	83332	Rv0307c	CCP43037	CCP43037	AL123456	CCP43037
Mycobacterium_tuberculosis_h37rv	83332	Rv0308	CCP43038	CCP43038	AL123456	CCP43038
Mycobacterium_tuberculosis_h37rv	83332	Rv0309	CCP43039	CCP43039	AL123456	CCP43039
Mycobacterium_tuberculosis_h37rv	83332	Rv0310c	CCP43040	CCP43040	AL123456	CCP43040
Mycobacterium_tuberculosis_h37rv	83332	Rv0311	CCP43041	CCP43041	AL123456	CCP43041
Mycobacterium_tuberculosis_h37rv	83332	Rv0312	CCP43042	CCP43042	AL123456	CCP43042
Mycobacterium_tuberculosis_h37rv	83332	Rv0313	CCP43043	CCP43043	AL123456	CCP43043
Mycobacterium_tuberculosis_h37rv	83332	Rv0314c	CCP43044	CCP43044	AL123456	CCP43044
Mycobacterium_tuberculosis_h37rv	83332	Rv0315	CCP43045	CCP43045	AL123456	CCP43045
Mycobacterium_tuberculosis_h37rv	83332	Rv0316	CCP43046	CCP43046	AL123456	CCP43046
Mycobacterium_tuberculosis_h37rv	83332	Rv0317c	CCP43047	CCP43047	AL123456	CCP43047
Mycobacterium_tuberculosis_h37rv	83332	Rv0318c	CCP43048	CCP43048	AL123456	CCP43048
Mycobacterium_tuberculosis_h37rv	83332	Rv0319	CCP43049	CCP43049	AL123456	CCP43049
Mycobacterium_tuberculosis_h37rv	83332	Rv0320	CCP43050	CCP43050	AL123456	CCP43050
Mycobacterium_tuberculosis_h37rv	83332	Rv0321	CCP43051	CCP43051	AL123456	CCP43051
Mycobacterium_tuberculosis_h37rv	83332	Rv0322	CCP43052	CCP43052	AL123456	CCP43052
Mycobacterium_tuberculosis_h37rv	83332	Rv0323c	CCP43053	CCP43053	AL123456	CCP43053
Mycobacterium_tuberculosis_h37rv	83332	Rv0324	CCP43054	CCP43054	AL123456	CCP43054
Mycobacterium_tuberculosis_h37rv	83332	Rv0325	CCP43055	CCP43055	AL123456	CCP43055
Mycobacterium_tuberculosis_h37rv	83332	Rv0326	CCP43056	CCP43056	AL123456	CCP43056
Mycobacterium_tuberculosis_h37rv	83332	Rv0327c	CCP43057	CCP43057	AL123456	CCP43057
Mycobacterium_tuberculosis_h37rv	83332	Rv0328	CCP43058	CCP43058	AL123456	CCP43058
Mycobacterium_tuberculosis_h37rv	83332	Rv0329c	CCP43059	CCP43059	AL123456	CCP43059
Mycobacterium_tuberculosis_h37rv	83332	Rv0330c	CCP43060	CCP43060	AL123456	CCP43060
Mycobacterium_tuberculosis_h37rv	83332	Rv0331	CCP43061	CCP43061	AL123456	CCP43061
Mycobacterium_tuberculosis_h37rv	83332	Rv0332	CCP43062	CCP43062	AL123456	CCP43062
Mycobacterium_tuberculosis_h37rv	83332	Rv0333	CCP43063	CCP43063	AL123456	CCP43063
Mycobacterium_tuberculosis_h37rv	83332	Rv0334	CCP43064	CCP43064	AL123456	CCP43064
Mycobacterium_tuberculosis_h37rv	83332	Rv0335c	CCP43065	CCP43065	AL123456	CCP43065
Mycobacterium_tuberculosis_h37rv	83332	Rv0336	CCP43066	CCP43066	AL123456	CCP43066
Mycobacterium_tuberculosis_h37rv	83332	Rv0337c	CCP43067	CCP43067	AL123456	CCP43067
Mycobacterium_tuberculosis_h37rv	83332	Rv0338c	CCP43068	CCP43068	AL123456	CCP43068
Mycobacterium_tuberculosis_h37rv	83332	Rv0339c	CCP43069	CCP43069	AL123456	CCP43069
Mycobacterium_tuberculosis_h37rv	83332	Rv0340	CCP43070	CCP43070	AL123456	CCP43070
Mycobacterium_tuberculosis_h37rv	83332	Rv0341	CCP43071	CCP43071	AL123456	CCP43071
Mycobacterium_tuberculosis_h37rv	83332	Rv0342	CCP43072	CCP43072	AL123456	CCP43072
Mycobacterium_tuberculosis_h37rv	83332	Rv0343	CCP43073	CCP43073	AL123456	CCP43073
Mycobacterium_tuberculosis_h37rv	83332	Rv0344c	CCP43074	CCP43074	AL123456	CCP43074
